"","date","GICS_SECTOR_NAME","div_yld"
"348",2018-09-24,"Industrials",2.27946796130454
"349",2018-09-24,"Consumer Discretionary",1.81828700871174
"350",2018-09-24,"Consumer Staples",2.99994007089302
"351",2018-09-24,"Health Care",1.93632371557525
"352",2018-09-24,"Financials",2.94502964009667
"353",2018-09-24,"Information Technology",1.46348821164346
"354",2018-09-24,"Communication Services",1.58247642179416
"355",2018-09-24,"Utilities",4.16116159864928
"356",2018-09-24,"Real Estate",3.7017910158885
"357",2018-10-01,"Energy",3.46521195566518
"358",2018-10-01,"Materials",3.07927667468373
"359",2018-10-01,"Industrials",2.22949641889258
"360",2018-10-01,"Consumer Discretionary",1.68640795563581
"361",2018-10-01,"Consumer Staples",2.99218356513402
"362",2018-10-01,"Health Care",1.89784727459396
"363",2018-10-01,"Financials",3.01740703751535
"364",2018-10-01,"Information Technology",1.42634338054317
"365",2018-10-01,"Communication Services",1.63614461639939
"366",2018-10-01,"Utilities",4.17603062539665
"367",2018-10-01,"Real Estate",3.73108915122847
"368",2018-10-08,"Energy",3.51284000398091
"369",2018-10-08,"Materials",3.16267207718174
"370",2018-10-08,"Industrials",2.27684884694082
"371",2018-10-08,"Consumer Discretionary",1.86356569894195
"372",2018-10-08,"Consumer Staples",3.03950039768645
"373",2018-10-08,"Health Care",1.94839413565609
"374",2018-10-08,"Financials",3.0278727488308
"375",2018-10-08,"Information Technology",1.49499815550255
"376",2018-10-08,"Communication Services",1.60804968282509
"377",2018-10-08,"Utilities",4.12590410799886
"378",2018-10-08,"Real Estate",3.81319908688728
"379",2018-10-15,"Energy",3.66019545828219
"380",2018-10-15,"Materials",3.31455309013349
"381",2018-10-15,"Industrials",2.41568150484735
"382",2018-10-15,"Consumer Discretionary",1.95126381672005
"383",2018-10-15,"Consumer Staples",3.11405250508575
"384",2018-10-15,"Health Care",2.02021120759717
"385",2018-10-15,"Financials",3.17523067578422
"386",2018-10-15,"Information Technology",1.56059753198505
"387",2018-10-15,"Communication Services",1.66770595251523
"388",2018-10-15,"Utilities",4.23394213251303
"389",2018-10-15,"Real Estate",3.95593197500031
"390",2018-10-23,"Energy",3.86183556038508
"391",2018-10-23,"Materials",3.45125680392801
"392",2018-10-23,"Industrials",2.48112351379821
"393",2018-10-23,"Consumer Discretionary",2.00263887578633
"394",2018-10-23,"Consumer Staples",3.03413535728135
"395",2018-10-23,"Health Care",2.02926644426535
"396",2018-10-23,"Financials",3.26580524952779
"397",2018-10-23,"Information Technology",1.59148477398413
"398",2018-10-23,"Communication Services",1.66481438876544
"399",2018-10-23,"Utilities",4.14235460175751
"400",2018-10-23,"Real Estate",3.88969823092774
"401",2018-10-29,"Energy",3.94451883682696
"402",2018-10-29,"Materials",3.43258778490438
"403",2018-10-29,"Industrials",2.49791333106076
"404",2018-10-29,"Consumer Discretionary",1.99569376872268
"405",2018-10-29,"Consumer Staples",2.97212208454043
"406",2018-10-29,"Health Care",2.04846657178067
"407",2018-10-29,"Financials",3.24111682663462
"408",2018-10-29,"Information Technology",1.59805212276838
"409",2018-10-29,"Communication Services",1.68230725607344
"410",2018-10-29,"Utilities",4.14778095010317
"411",2018-10-29,"Real Estate",3.81349445049891
"412",2018-11-05,"Energy",3.83470898554581
"413",2018-11-05,"Materials",3.39385160705173
"414",2018-11-05,"Industrials",2.46640688600725
"415",2018-11-05,"Consumer Discretionary",1.96792452925698
"416",2018-11-05,"Consumer Staples",2.91576490409731
"417",2018-11-05,"Health Care",2.01847595374996
"418",2018-11-05,"Financials",3.14003071919036
"419",2018-11-05,"Information Technology",1.66236803636293
"420",2018-11-05,"Communication Services",1.69390953862607
"421",2018-11-05,"Utilities",4.13703910369772
"422",2018-11-05,"Real Estate",3.79719812765744
"423",2018-11-12,"Energy",3.89784273655339
"424",2018-11-12,"Materials",3.52122484510967
"425",2018-11-12,"Industrials",2.43757687323003
"426",2018-11-12,"Consumer Discretionary",1.94823814487712
"427",2018-11-12,"Consumer Staples",2.87303449800365
"428",2018-11-12,"Health Care",1.9537915990379
"429",2018-11-12,"Financials",3.12693766677004
"430",2018-11-12,"Information Technology",1.63130953975962
"431",2018-11-12,"Communication Services",1.68785124548213
"432",2018-11-12,"Utilities",3.9962722667938
"433",2018-11-12,"Real Estate",3.68350093116381
"434",2018-11-19,"Energy",3.99574450139864
"435",2018-11-19,"Materials",3.49513166149782
"436",2018-11-19,"Industrials",2.46005583881296
"437",2018-11-19,"Consumer Discretionary",2.01812622296345
"438",2018-11-19,"Consumer Staples",2.91030070152302
"439",2018-11-19,"Health Care",1.98499754084913
"440",2018-11-19,"Financials",3.16151999519892
"441",2018-11-19,"Information Technology",1.68012641072643
"442",2018-11-19,"Communication Services",1.70848017214248
"443",2018-11-19,"Utilities",4.01346272019026
"444",2018-11-19,"Real Estate",3.69455488082544
"445",2018-11-26,"Energy",4.1300675818511
"446",2018-11-26,"Materials",3.55186738183204
"447",2018-11-26,"Industrials",2.46592545417696
"448",2018-11-26,"Consumer Discretionary",2.02017677111843
"449",2018-11-26,"Consumer Staples",2.94652051513676
"450",2018-11-26,"Health Care",1.99961601870864
"451",2018-11-26,"Financials",3.17475400700282
"452",2018-11-26,"Information Technology",1.71699333464757
"453",2018-11-26,"Communication Services",1.71009365131931
"454",2018-11-26,"Utilities",4.04500672658809
"455",2018-11-26,"Real Estate",3.719066396433
"456",2018-12-03,"Energy",3.97879799931983
"457",2018-12-03,"Materials",3.44177833558549
"458",2018-12-03,"Industrials",2.39628141613593
"459",2018-12-03,"Consumer Discretionary",1.92149818099685
"460",2018-12-03,"Consumer Staples",2.90399400223749
"461",2018-12-03,"Health Care",1.93350583322489
"462",2018-12-03,"Financials",3.11129310664461
"463",2018-12-03,"Information Technology",1.62632323354265
"464",2018-12-03,"Communication Services",1.63175378752909
"465",2018-12-03,"Utilities",3.98762271013381
"466",2018-12-03,"Real Estate",3.68850626116374
"467",2018-12-10,"Energy",4.20344324899755
"468",2018-12-10,"Materials",3.69723065104628
"469",2018-12-10,"Industrials",2.58851135803174
"470",2018-12-10,"Consumer Discretionary",2.05765869887253
"471",2018-12-10,"Consumer Staples",2.98531443143799
"472",2018-12-10,"Health Care",2.03549668304176
"473",2018-12-10,"Financials",3.40874993938114
"474",2018-12-10,"Information Technology",1.77036408385665
"475",2018-12-10,"Communication Services",1.72764259644542
"476",2018-12-10,"Utilities",3.99364361347876
"477",2018-12-10,"Real Estate",3.69716433356884
"478",2018-12-17,"Energy",4.25917349990294
"479",2018-12-17,"Materials",3.6909328271094
"480",2018-12-17,"Industrials",2.61489361119157
"481",2018-12-17,"Consumer Discretionary",2.09703885363598
"482",2018-12-17,"Consumer Staples",3.01383128102207
"483",2018-12-17,"Health Care",2.06731397969726
"484",2018-12-17,"Financials",3.43400484977265
"485",2018-12-17,"Information Technology",1.77937091023705
"486",2018-12-17,"Communication Services",1.71909147744394
"487",2018-12-17,"Utilities",3.92082747246524
"488",2018-12-17,"Real Estate",3.74402129870942
"489",2018-12-17,NA,8.365157
"490",2018-12-24,"Energy",4.54550492940933
"491",2018-12-24,"Materials",3.72811733340766
